ID,Vendor,Country,Product_Group,Sub_Classification,Shipment_Mode,Year,Quarter,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Freight_Type,Freight_Cost_USD,Line_Item_Value,Freight_Cost_Ratio,Dosage_Applicable,Weight_Kilograms
46095,"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",Haiti,ARV,Pediatric,Air,2015,3,0,On Time,On Time,Absorbed,,7123.2,,Applicable,
46099,Aurobindo Pharma Limited,South Africa,ARV,Adult,Air,2010,2,1,On Time,On Time,Separate,6369.8,111955.72,5.69,Applicable,4522.0
46106,"Trinity Biotech, Plc",South Sudan,HRDT,HIV test,Air,2013,1,0,On Time,On Time,Separate,3088.04,19104.0,16.16,Not Applicable,209.0
46114,"Standard Diagnostics, Inc.",Sierra Leone,HRDT,HIV test,Air,2015,2,0,On Time,On Time,Absorbed,,30750.0,,Not Applicable,
46127,HETERO LABS LIMITED,Rwanda,ARV,Adult,Ocean,2011,4,0,On Time,On Time,Separate,82095.85,575727.75,14.26,Applicable,13622.0
46129,"Orgenics, Ltd",Mozambique,HRDT,HIV test,Air,2011,1,0,On Time,On Time,Separate,1001.47,4739.7,21.13,Not Applicable,28.0
46130,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2014,1,0,On Time,On Time,Separate,6881.65,452611.95,1.52,Applicable,4585.0
46156,"Orgenics, Ltd",Tanzania,HRDT,HIV test,Air,2012,2,0,On Time,On Time,Separate,24596.33,234080.0,10.51,Not Applicable,1394.0
46170,Aurobindo Pharma Limited,South Africa,ARV,Adult,Ocean,2011,3,0,On Time,On Time,Separate,698.0,167019.12,0.42,Applicable,1820.0
46177,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2014,3,0,On Time,On Time,Absorbed,,2036.11,,Applicable,
46198,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,ARV,Adult,Air,2012,3,0,On Time,On Time,Separate,1842.23,116896.04,1.58,Applicable,467.0
46206,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2009,4,0,On Time,On Time,Absorbed,,16744.82,,Applicable,
46209,"Orgenics, Ltd",Rwanda,HRDT,HIV test,Air,2009,4,0,On Time,On Time,Separate,46638.41,355880.0,13.11,Not Applicable,1153.0
46227,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2014,3,0,On Time,On Time,Absorbed,,3352.74,,Applicable,
46228,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zimbabwe,ARV,Pediatric,Air,2014,3,0,On Time,On Time,Separate,18232.17,95772.73,19.04,Applicable,2383.0
46250,MICRO LABS LIMITED,"Congo, DRC",ARV,Adult,Air,2015,1,0,On Time,On Time,Separate,3743.84,6835.28,54.77,Applicable,209.0
46310,"Trinity Biotech, Plc",Sierra Leone,HRDT,HIV test,Air,2015,2,0,On Time,On Time,Absorbed,,12800.0,,Not Applicable,
46323,Aurobindo Pharma Limited,Ghana,ARV,Pediatric,Air,2014,3,0,On Time,On Time,Separate,7719.0,3451.86,223.62,Applicable,972.0
46348,STRIDES ARCOLAB LIMITED,Mozambique,ARV,Adult,Air,2013,4,0,On Time,On Time,Separate,4683.02,52633.0,8.9,Applicable,1139.0
46353,"Trinity Biotech, Plc",Nigeria,HRDT,HIV test,Air,2012,4,0,On Time,On Time,Separate,22859.07,193344.0,11.82,Not Applicable,1990.0
46355,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Haiti,ARV,Adult,Air,2014,3,0,On Time,On Time,Separate,1274.35,232.0,549.29,Applicable,19.0
46372,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2010,2,0,On Time,On Time,Absorbed,,1897.36,,Applicable,
46395,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2013,4,0,On Time,On Time,Absorbed,,92.5,,Applicable,
46409,"Orgenics, Ltd","Congo, DRC",HRDT,HIV test,Air,2015,3,0,On Time,On Time,Absorbed,,44160.0,,Not Applicable,
46411,"Orgenics, Ltd",Côte d'Ivoire,HRDT,HIV test,Air,2014,1,0,On Time,On Time,Separate,23237.62,352000.0,6.6,Not Applicable,1808.0
46429,Orasure Technologies Inc.,Mali,HRDT,HIV test - Ancillary,Air,2015,2,0,On Time,On Time,Absorbed,,500.0,,Not Applicable,
46432,Aurobindo Pharma Limited,Côte d'Ivoire,ARV,Adult,Air,2009,4,0,On Time,On Time,Separate,2986.16,33603.0,8.89,Applicable,154.0
46447,ASPEN PHARMACARE,Uganda,ARV,Adult,Air,2013,4,0,On Time,On Time,Separate,359.53,56010.6,0.64,Applicable,169.0
46460,Aurobindo Pharma Limited,Uganda,ARV,Pediatric,Air,2015,2,0,On Time,On Time,Separate,1488.99,12542.4,11.87,Applicable,166.0
46464,"Orgenics, Ltd",Côte d'Ivoire,HRDT,HIV test,Air,2012,1,0,On Time,On Time,Separate,27254.17,219680.0,12.41,Not Applicable,1312.0
46468,STRIDES ARCOLAB LIMITED,South Africa,ARV,Adult,Ocean,2011,3,0,On Time,On Time,Absorbed,,1251450.0,,Applicable,
