ID,Country,Vendor,Shipment_Mode,Year,Quarter,Month,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Product_Group,Line_Item_Value,Freight_Cost_USD,Freight_Type,Weight_Kilograms,Freight_Cost_Ratio
1645,Côte d'Ivoire,"Orgenics, Ltd",Air,2008,4,12,2008-12-19,2008-12-19,0,On Time,On Time,HRDT,78120.0,7118.12,Separate,256.0,9.11
1646,Guyana,"Trinity Biotech, Plc",Air,2008,2,5,2008-05-06,2008-05-06,0,On Time,On Time,HRDT,26624.0,3740.04,Separate,832.0,14.05
1647,Guyana,"Orgenics, Ltd",Air,2008,3,7,2008-07-28,2008-07-28,0,On Time,On Time,HRDT,15333.87,959.46,Separate,49.0,6.26
1648,Botswana,Orasure Technologies Inc.,Air,2008,2,4,2008-04-11,2008-04-11,0,On Time,On Time,HRDT,3500.0,604.0,Separate,39.0,17.26
1660,Zimbabwe,"Orgenics, Ltd",Air,2008,4,11,2008-11-17,2008-10-21,-27,On Time,Early,HRDT,16.34,,Absorbed,,
1673,South Africa,S. BUYS WHOLESALER,Truck,2008,2,4,2008-04-24,2008-04-24,0,On Time,On Time,ARV,15760.0,,Absorbed,,
1674,South Africa,S. BUYS WHOLESALER,Truck,2008,2,4,2008-04-24,2008-04-24,0,On Time,On Time,ARV,47.28,,Absorbed,,
1675,South Africa,S. BUYS WHOLESALER,Truck,2008,2,4,2008-04-24,2008-04-24,0,On Time,On Time,ARV,10925.0,,Absorbed,,
1691,Vietnam,Aurobindo Pharma Limited,Air,2008,3,7,2008-07-07,2008-06-20,-17,On Time,Early,ARV,29232.0,4159.45,Separate,507.0,14.23
1693,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,2008,2,6,2008-06-01,2008-06-01,0,On Time,On Time,ARV,77145.6,3796.05,Separate,522.0,4.92
1719,Côte d'Ivoire,"Orgenics, Ltd",Air,2008,2,5,2008-05-09,2008-05-09,0,On Time,On Time,HRDT,2.5,,Absorbed,17.0,
1730,Nigeria,"Orgenics, Ltd",Air,2008,2,5,2008-05-28,2008-05-28,0,On Time,On Time,HRDT,11.3,,Absorbed,,
1797,Vietnam,BRISTOL-MYERS SQUIBB,Air,2008,4,10,2008-10-03,2008-10-03,0,On Time,On Time,ARV,2800.0,3013.09,Separate,81.0,107.61
1798,Vietnam,STRIDES ARCOLAB LIMITED,Air,2008,3,8,2008-08-19,2008-08-19,0,On Time,On Time,ARV,15631.0,7575.6,Separate,502.0,48.47
1801,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-20,2008-05-08,-104,On Time,Early,ARV,24783.3,,Absorbed,,
1802,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-20,2008-05-21,-91,On Time,Early,ARV,11060.0,,Absorbed,,
1803,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-20,2008-05-14,-98,On Time,Early,ARV,16630.0,,Absorbed,,
1804,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-20,2008-05-08,-104,On Time,Early,ARV,435.9,,Absorbed,,
1820,Haiti,"Orgenics, Ltd",Air,2008,4,10,2008-10-27,2008-10-27,0,On Time,On Time,HRDT,78610.0,2851.72,Separate,257.0,3.63
1861,Rwanda,"Trinity Biotech, Plc",Air,2008,3,8,2008-08-16,2008-08-16,0,On Time,On Time,HRDT,47260.0,5446.06,Separate,234.0,11.52
1888,Rwanda,Aurobindo Pharma Limited,Air,2008,3,7,2008-07-23,2008-07-22,-1,On Time,Early,ARV,569281.31,30408.04,Separate,5311.0,5.34
1889,Rwanda,Aurobindo Pharma Limited,Air,2008,3,7,2008-07-23,2008-07-23,0,On Time,On Time,ARV,725539.69,38120.96,Separate,6768.0,5.25
1905,Vietnam,Aurobindo Pharma Limited,Air,2008,3,9,2008-09-19,2008-09-19,0,On Time,On Time,ARV,37023.0,,Absorbed,,
1919,Vietnam,Aurobindo Pharma Limited,Air,2008,4,10,2008-10-03,2008-10-03,0,On Time,On Time,ARV,26143.5,5822.44,Separate,1114.0,22.27
1926,South Africa,S. BUYS WHOLESALER,Truck,2008,3,7,2008-07-10,2008-07-14,4,Late,Late,ARV,663.5,,Absorbed,,
1927,South Africa,S. BUYS WHOLESALER,Truck,2008,3,7,2008-07-10,2008-07-08,-2,On Time,Early,ARV,715.0,,Absorbed,,
1928,South Africa,S. BUYS WHOLESALER,Truck,2008,3,7,2008-07-10,2008-07-08,-2,On Time,Early,ARV,1096.2,,Absorbed,,
1929,South Africa,S. BUYS WHOLESALER,Truck,2008,3,7,2008-07-10,2008-07-08,-2,On Time,Early,ARV,150.48,,Absorbed,,
1939,Zambia,"Orgenics, Ltd",Air,2008,3,9,2008-09-22,2008-09-22,0,On Time,On Time,HRDT,30.0,7303.52,Separate,889.0,24345.07
1940,Guyana,"Orgenics, Ltd",Air,2008,4,10,2008-10-29,2008-10-29,0,On Time,On Time,HRDT,15333.87,1047.39,Separate,49.0,6.83
1941,Nigeria,"Orgenics, Ltd",Air,2008,4,10,2008-10-15,2008-10-15,0,On Time,On Time,HRDT,65.02,24870.05,Separate,1927.0,38249.85
1942,Nigeria,"Orgenics, Ltd",Air,2008,3,9,2008-09-12,2008-09-12,0,On Time,On Time,HRDT,549931.25,19992.75,Separate,1566.0,3.64
1954,Vietnam,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2008,4,12,2008-12-02,2008-12-02,0,On Time,On Time,ARV,35674.8,2709.98,Separate,113.0,7.6
1955,Vietnam,Aurobindo Pharma Limited,Air,2008,4,11,2008-11-24,2008-11-24,0,On Time,On Time,ARV,12540.0,2568.6,Separate,159.0,20.48
1956,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Air,2008,4,11,2008-11-25,2008-11-25,0,On Time,On Time,ARV,85596.0,3247.73,Separate,613.0,3.79
1957,Vietnam,CIPLA LIMITED,Air,2008,4,12,2008-12-03,2008-12-03,0,On Time,On Time,ARV,26448.0,2335.19,Separate,323.0,8.83
1971,Guyana,ZEPHYR BIOMEDICALS,Air,2008,4,12,2008-12-15,2008-12-15,0,On Time,On Time,MRDT,4050.0,648.27,Separate,34.0,16.01
1972,Ethiopia,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2008,4,11,2008-11-03,2008-10-13,-21,On Time,Early,HRDT,160866.0,11066.17,Separate,2147.0,6.88
1973,Ethiopia,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2008,4,11,2008-11-03,2008-11-03,0,On Time,On Time,HRDT,107514.0,7303.25,Separate,1445.0,6.79
2008,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,2008,4,10,2008-10-07,2008-10-07,0,On Time,On Time,HRDT,160954.0,44347.71,Separate,5057.0,27.55
2014,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-25,2008-08-14,-11,On Time,Early,ARV,7080.0,,Absorbed,,
2015,South Africa,S. BUYS WHOLESALER,Truck,2008,3,8,2008-08-25,2008-08-14,-11,On Time,Early,ARV,557.6,,Absorbed,,
2146,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,2009,1,1,2009-01-26,2009-01-20,-6,On Time,Early,HRDT,79810.0,19882.25,Separate,2509.0,24.91
2147,Ethiopia,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Air,2008,4,12,2008-12-03,2008-12-03,0,On Time,On Time,HRDT,80730.0,22433.91,Separate,2535.0,27.79
2148,Zimbabwe,BIOLYTICAL LABORATORIES INC.,Air,2009,1,2,2009-02-03,2009-02-03,0,On Time,On Time,HRDT,12706.65,,Absorbed,,
2153,Vietnam,Aurobindo Pharma Limited,Air,2008,4,11,2008-11-27,2008-11-27,0,On Time,On Time,ARV,17400.0,2653.27,Separate,581.0,15.25
2156,South Africa,S. BUYS WHOLESALER,Truck,2009,2,5,2009-05-17,2008-10-09,-220,On Time,Early,ARV,20410.0,,Absorbed,,
2157,South Africa,S. BUYS WHOLESALER,Truck,2009,2,5,2009-05-17,2008-10-09,-220,On Time,Early,ARV,733.2,,Absorbed,,
2158,South Africa,S. BUYS WHOLESALER,Truck,2009,2,5,2009-05-17,2008-10-09,-220,On Time,Early,ARV,424.08,,Absorbed,,
2159,South Africa,S. BUYS WHOLESALER,Truck,2009,2,5,2009-05-17,2008-10-09,-220,On Time,Early,ARV,540.4,,Absorbed,,
2171,Nigeria,"Orgenics, Ltd",Air,2009,2,4,2009-04-08,2009-04-08,0,On Time,On Time,HRDT,460080.0,22451.67,Separate,1723.0,4.88
2173,Namibia,INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,Air,2009,1,1,2009-01-27,2009-01-27,0,On Time,On Time,HRDT,225.0,963.34,Separate,3.0,428.15
2257,Guyana,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Air,2009,1,2,2009-02-25,2009-01-27,-29,On Time,Early,HRDT,2700.0,692.38,Separate,28.0,25.64
2295,Namibia,"Trinity Biotech, Plc",Air,2009,1,3,2009-03-02,2009-03-02,0,On Time,On Time,HRDT,2176.0,1003.52,Separate,22.0,46.12
2297,Vietnam,Aurobindo Pharma Limited,Air,2009,2,4,2009-04-07,2009-04-07,0,On Time,On Time,ARV,21600.0,9809.7,Separate,2228.0,45.42
2298,Vietnam,Aurobindo Pharma Limited,Air,2009,2,4,2009-04-10,2009-04-10,0,On Time,On Time,ARV,7805.0,,Absorbed,,
2305,Nigeria,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Air,2009,2,4,2009-04-08,2009-04-08,0,On Time,On Time,ARV,1260000.0,7933.38,Separate,2067.0,0.63
2328,Haiti,"Orgenics, Ltd",Air,2009,1,3,2009-03-16,2009-03-16,0,On Time,On Time,HRDT,117600.0,3241.06,Separate,382.0,2.76
2399,Haiti,Aurobindo Pharma Limited,Air,2009,2,4,2009-04-02,2009-04-02,0,On Time,On Time,ARV,10500.0,1903.54,Separate,187.0,18.13
2417,Mozambique,"Orgenics, Ltd",Air,2009,2,5,2009-05-26,2009-05-26,0,On Time,On Time,HRDT,648000.0,25052.69,Separate,2655.0,3.87
2429,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-17,2008-11-28,-109,On Time,Early,ARV,3359.84,,Absorbed,,
2430,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-24,2008-12-01,-113,On Time,Early,ARV,24583.3,,Absorbed,,
2431,South Africa,S. BUYS WHOLESALER,Air,2009,1,3,2009-03-31,2008-12-02,-119,On Time,Early,ARV,3390.85,,Absorbed,,
2432,South Africa,S. BUYS WHOLESALER,Air,2009,2,6,2009-06-23,2009-01-29,-145,On Time,Early,ARV,36582.0,,Absorbed,,
2436,South Africa,S. BUYS WHOLESALER,Air,2009,2,5,2009-05-12,2008-12-30,-133,On Time,Early,ARV,19062.0,,Absorbed,,
